ID	Level	Section	Tests
MCP-2025-11-25/decode/MUST-reject-deep-nesting	MUST	M1a decode-time structural limits	github.com/andygeiss/mcp/internal/protocol_test.Test_Decode_With_DeeplyNestedJSON_Should_ReturnError
MCP-2025-11-25/elicitation/MUST-gate-on-capability	MUST	Q18 elicitation/create outbound	github.com/andygeiss/mcp/internal/server_test.Test_SendRequest_With_ElicitationCreate_AndCapabilityNotAdvertised_Should_ReturnCapabilityError
MCP-2025-11-25/elicitation/MUST-roundtrip-when-advertised	MUST	Q18 elicitation/create outbound	github.com/andygeiss/mcp/internal/server_test.Test_SendRequest_With_ElicitationCreate_AndCapabilityAdvertised_Should_RoundTrip
MCP-2025-11-25/initialize/MUST-version-negotiation	MUST	R5 initialize protocol-version negotiation	github.com/andygeiss/mcp/internal/protocol_test.Test_NegotiateVersion_With_UnsupportedVersion_Should_ReturnNewest
MCP-2025-11-25/inspect/MUST-emit-deterministic-shape	MUST	FR7 inspection-mode contract	github.com/andygeiss/mcp/internal/inspect_test.Test_Inspect_With_PopulatedRegistries_Should_EmitDeterministicShape, github.com/andygeiss/mcp/internal/inspect_test.Test_Inspect_With_NilRegistries_Should_EmitEmptyArrays, github.com/andygeiss/mcp/internal/inspect_test.Test_Inspect_With_FixtureRegistries_Should_MatchGolden
MCP-2025-11-25/jsonrpc/MUST-echo-id	MUST	JSON-RPC 2.0 §5 Response object	github.com/andygeiss/mcp/internal/protocol_test.Test_Decode_With_StringID_Should_PreserveExactly, github.com/andygeiss/mcp/internal/protocol_test.Test_Decode_With_NumberID_Should_PreserveExactly
MCP-2025-11-25/progress/MUST-extract-progressToken	MUST	Q6 progress-token passthrough discipline	github.com/andygeiss/mcp/internal/server.Test_Dispatch_With_ProgressToken_Should_PlumbToContext
MCP-2025-11-25/progress/MUST-not-emit-during-outbound	MUST	AI10 — no progress notifications during outbound bidi requests	github.com/andygeiss/mcp/internal/server.Test_Progress_Report_With_OutboundActive_Should_Drop
MCP-2025-11-25/progress/MUST-not-emit-without-token	MUST	Q6 progress-token passthrough discipline	github.com/andygeiss/mcp/internal/server_test.Test_ProgressReport_Without_Token_Should_NotEmit
MCP-2025-11-25/progress/MUST-preserve-token-type	MUST	Q6 progress-token passthrough discipline	github.com/andygeiss/mcp/internal/server_test.Test_ProgressReport_With_StringToken_Should_PreserveType, github.com/andygeiss/mcp/internal/server_test.Test_ProgressReport_With_NumberToken_Should_PreserveType
MCP-2025-11-25/registry/MUST-name-both-sites-on-duplicate	MUST	FR5 Clause registry duplicate detection	github.com/andygeiss/mcp/internal/protocol_test.Test_Register_With_DuplicateID_Should_PanicWithBothSites
MCP-2025-11-25/schema/MUST-reject-non-struct-top-level	MUST	FR3 schema engine top-level guard	github.com/andygeiss/mcp/internal/schema_test.Test_DeriveInputSchema_With_IntTopLevel_Should_ReturnError, github.com/andygeiss/mcp/internal/schema_test.Test_DeriveInputSchema_With_SliceTopLevel_Should_ReturnError, github.com/andygeiss/mcp/internal/schema_test.Test_DeriveInputSchema_With_MapTopLevel_Should_ReturnError, github.com/andygeiss/mcp/internal/schema_test.Test_DeriveInputSchema_With_DoublePointerToStruct_Should_ReturnError, github.com/andygeiss/mcp/internal/schema_test.Test_DeriveInputSchema_With_TimeTimeTopLevel_Should_Accept, github.com/andygeiss/mcp/internal/schema_test.Test_DeriveInputSchema_With_RawMessageTopLevel_Should_Accept, github.com/andygeiss/mcp/internal/schema_test.Test_DeriveOutputSchema_With_IntTopLevel_Should_ReturnError, github.com/andygeiss/mcp/internal/schema_test.Test_DeriveOutputSchema_With_DoublePointerToStruct_Should_ReturnError, github.com/andygeiss/mcp/internal/schema_test.Test_DeriveOutputSchema_With_TimeTimeTopLevel_Should_Accept
MCP-2025-11-25/tools/MUST-advertise-outputSchema	MUST	Q5 typed tool outputs (structuredContent + outputSchema)	github.com/andygeiss/mcp/internal/server_test.Test_ToolsList_With_TypedOutputs_Should_AdvertiseOutputSchema
MCP-2025-11-25/tools/MUST-emit-field-name-on-marshal-failure	MUST	FR4 -32603 error.data carries field name on Out marshal failure	github.com/andygeiss/mcp/internal/server_test.Test_ToolsCall_With_ChanInOut_Should_EmitFieldNameInErrorData, github.com/andygeiss/mcp/internal/server_test.Test_ToolsCall_With_FuncInOut_Should_EmitFieldNameInErrorData, github.com/andygeiss/mcp/internal/server_test.Test_ToolsCall_With_CyclicOut_Should_EmitFieldNameInErrorData
MCP-2025-11-25/tools/MUST-emit-structuredContent	MUST	Q5 typed tool outputs (structuredContent + outputSchema)	github.com/andygeiss/mcp/internal/server_test.Test_Server_With_StructuredContent_Should_RoundTrip
